,Move_Name,Move_Effect,Move_Accuracy,Move_Type,Move_Category,Move_Power,Move_PP,Move_Effect_Proc_Chance,Desc_Name,Move_Description
207,MILK_DRINK,EFFECT_HEAL,0,NORMAL,PHYSICAL,100,10,0,MilkDrink,Restores HP by 1/2 the max HP.
208,SPARK,EFFECT_PARALYZE_HIT,65,ELECTRIC,SPECIAL,100,20,30,Spark,An attack that may cause paralysis.
209,FURY_CUTTER,EFFECT_FURY_CUTTER,10,BUG,PHYSICAL,95,20,0,FuryCutter,Successive hits raise power.
210,STEEL_WING,EFFECT_DEFENSE_UP_HIT,70,STEEL,PHYSICAL,90,25,10,SteelWing,Stiff wings strike the foe.
211,MEAN_LOOK,EFFECT_MEAN_LOOK,0,NORMAL,PHYSICAL,100,5,0,MeanLook,Prevents fleeing or switching.
212,ATTRACT,EFFECT_ATTRACT,0,NORMAL,PHYSICAL,100,15,0,Attract,Makes the opposite gender infatuated.
213,SLEEP_TALK,EFFECT_SLEEP_TALK,0,NORMAL,PHYSICAL,100,10,0,SleepTalk,Randomly attacks while asleep.
214,HEAL_BELL,EFFECT_HEAL_BELL,0,NORMAL,PHYSICAL,100,5,0,HealBell,Eliminates all status problems.
215,RETURN,EFFECT_RETURN,1,NORMAL,PHYSICAL,100,20,0,Return,An attack that is based on loyalty.
216,PRESENT,EFFECT_PRESENT,1,NORMAL,PHYSICAL,90,15,0,Present,A bomb that may restore HP.
217,FRUSTRATION,EFFECT_FRUSTRATION,1,NORMAL,PHYSICAL,100,20,0,Frustration,An attack based on lack of loyalty.
218,SAFEGUARD,EFFECT_SAFEGUARD,0,NORMAL,PHYSICAL,100,25,0,Safeguard,Prevents all status problems.
219,PAIN_SPLIT,EFFECT_PAIN_SPLIT,0,NORMAL,PHYSICAL,100,20,0,PainSplit,Adds user & foe's HPs. Shares total.
220,SACRED_FIRE,EFFECT_SACRED_FIRE,100,FIRE,SPECIAL,95,5,50,SacredFire,An attack that may inflict a burn.
221,MAGNITUDE,EFFECT_MAGNITUDE,1,GROUND,PHYSICAL,100,30,0,Magnitude,A ground attack with random power.
222,DYNAMICPUNCH,EFFECT_CONFUSE_HIT,100,FIGHTING,PHYSICAL,50,5,100,Dynamicpunch,An attack that always confuses.
223,MEGAHORN,EFFECT_NORMAL_HIT,120,BUG,PHYSICAL,85,10,0,Megahorn,A powerful charge attack.
224,DRAGONBREATH,EFFECT_PARALYZE_HIT,60,DRAGON,SPECIAL,100,20,30,Dragonbreath,A strong breath attack.
225,BATON_PASS,EFFECT_BATON_PASS,0,NORMAL,PHYSICAL,100,40,0,BatonPass,Switches while keeping effects.
226,ENCORE,EFFECT_ENCORE,0,NORMAL,PHYSICAL,100,5,0,Encore,Makes the foe re- peat 2-6 times.
227,PURSUIT,EFFECT_PURSUIT,40,DARK,SPECIAL,100,20,0,Pursuit,Heavily strikes switching #MON.
228,RAPID_SPIN,EFFECT_RAPID_SPIN,20,NORMAL,PHYSICAL,100,40,0,RapidSpin,A high-speed spinning attack.
229,SWEET_SCENT,EFFECT_EVASION_DOWN,0,NORMAL,PHYSICAL,100,20,0,SweetScent,Reduces the foe's evasiveness.
230,IRON_TAIL,EFFECT_DEFENSE_DOWN_HIT,100,STEEL,PHYSICAL,75,15,30,IronTail,An attack that may reduce DEFENSE.
231,METAL_CLAW,EFFECT_ATTACK_UP_HIT,50,STEEL,PHYSICAL,95,35,10,MetalClaw,An attack that may up user's ATTACK.
232,VITAL_THROW,EFFECT_ALWAYS_HIT,70,FIGHTING,PHYSICAL,100,10,0,VitalThrow,A 2nd-strike move that never misses.
233,MORNING_SUN,EFFECT_MORNING_SUN,0,NORMAL,PHYSICAL,100,5,0,MorningSun,Restores HP (varies by time).
234,SYNTHESIS,EFFECT_SYNTHESIS,0,GRASS,SPECIAL,100,5,0,Synthesis,Restores HP (varies by time).
235,MOONLIGHT,EFFECT_MOONLIGHT,0,NORMAL,PHYSICAL,100,5,0,Moonlight,Restores HP (varies by time).
236,HIDDEN_POWER,EFFECT_HIDDEN_POWER,1,NORMAL,PHYSICAL,100,15,0,HiddenPower,The power varies with the #MON.
237,CROSS_CHOP,EFFECT_NORMAL_HIT,100,FIGHTING,PHYSICAL,80,5,0,CrossChop,Has a high criti- cal hit ratio.
238,TWISTER,EFFECT_TWISTER,40,DRAGON,SPECIAL,100,20,20,Twister,Whips up a tornado to attack.
239,RAIN_DANCE,EFFECT_RAIN_DANCE,0,WATER,SPECIAL,90,5,0,RainDance,Boosts water-type moves for 5 turns.
240,SUNNY_DAY,EFFECT_SUNNY_DAY,0,FIRE,SPECIAL,90,5,0,SunnyDay,Boosts fire-type moves for 5 turns.
241,CRUNCH,EFFECT_SP_DEF_DOWN_HIT,80,DARK,SPECIAL,100,15,20,Crunch,An attack that may lower SPCL.DEF.
242,MIRROR_COAT,EFFECT_MIRROR_COAT,1,PSYCHIC,SPECIAL,100,20,0,MirrorCoat,Counters a SPCL. ATK move double.
243,PSYCH_UP,EFFECT_PSYCH_UP,0,NORMAL,PHYSICAL,100,10,0,PsychUp,Copies the foe's stat changes.
244,EXTREMESPEED,EFFECT_PRIORITY_HIT,80,NORMAL,PHYSICAL,100,5,0,Extremespeed,A powerful first- strike move.
245,ANCIENTPOWER,EFFECT_ALL_UP_HIT,60,ROCK,PHYSICAL,100,5,10,Ancientpower,An attack that may raise all stats.
246,SHADOW_BALL,EFFECT_SP_DEF_DOWN_HIT,80,GHOST,PHYSICAL,100,15,20,ShadowBall,An attack that may lower SPCL.DEF.
247,FUTURE_SIGHT,EFFECT_FUTURE_SIGHT,80,PSYCHIC,SPECIAL,90,15,0,FutureSight,An attack that hits on 3rd turn.
248,ROCK_SMASH,EFFECT_DEFENSE_DOWN_HIT,20,FIGHTING,PHYSICAL,100,15,50,RockSmash,An attack that may lower DEFENSE.
249,WHIRLPOOL,EFFECT_TRAP_TARGET,15,WATER,SPECIAL,70,15,0,Whirlpool,Traps the foe for 2-5 turns.
250,BEAT_UP,EFFECT_BEAT_UP,10,DARK,SPECIAL,100,10,0,BeatUp,Party #MON join in the attack.
