Pokemon_Name,Levelup_Learnset
Lapras,"['1, WATER_GUN', '1, GROWL', '1, SING', '8, MIST', '15, BODY_SLAM', '22, CONFUSE_RAY', '29, PERISH_SONG', '36, ICE_BEAM', '43, RAIN_DANCE', '50, SAFEGUARD', '57, HYDRO_PUMP']"
Ditto,"['1, TRANSFORM']"
Eevee,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, GROWL', '23, QUICK_ATTACK', '30, BITE', '36, BATON_PASS', '42, TAKE_DOWN']"
Vaporeon,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, WATER_GUN', '23, QUICK_ATTACK', '30, BITE', '36, AURORA_BEAM', '42, HAZE', '47, ACID_ARMOR', '52, HYDRO_PUMP']"
Jolteon,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, THUNDERSHOCK', '23, QUICK_ATTACK', '30, DOUBLE_KICK', '36, PIN_MISSILE', '42, THUNDER_WAVE', '47, AGILITY', '52, THUNDER']"
Flareon,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, EMBER', '23, QUICK_ATTACK', '30, BITE', '36, FIRE_SPIN', '42, SMOG', '47, LEER', '52, FLAMETHROWER']"
Porygon,"['1, CONVERSION2', '1, TACKLE', '1, CONVERSION', '9, AGILITY', '12, PSYBEAM', '20, RECOVER', '24, SHARPEN', '32, LOCK_ON', '36, TRI_ATTACK', '44, ZAP_CANNON']"
Omanyte,"['1, CONSTRICT', '1, WITHDRAW', '13, BITE', '19, WATER_GUN', '31, LEER', '37, PROTECT', '49, ANCIENTPOWER', '55, HYDRO_PUMP']"
Omastar,"['1, CONSTRICT', '1, WITHDRAW', '1, BITE', '13, BITE', '19, WATER_GUN', '31, LEER', '37, PROTECT', '40, SPIKE_CANNON', '54, ANCIENTPOWER', '65, HYDRO_PUMP']"
Kabuto,"['1, SCRATCH', '1, HARDEN', '10, ABSORB', '19, LEER', '28, SAND_ATTACK', '37, ENDURE', '46, MEGA_DRAIN', '55, ANCIENTPOWER']"
Kabutops,"['1, SCRATCH', '1, HARDEN', '1, ABSORB', '10, ABSORB', '19, LEER', '28, SAND_ATTACK', '37, ENDURE', '40, SLASH', '51, MEGA_DRAIN', '65, ANCIENTPOWER']"
Aerodactyl,"['1, WING_ATTACK', '8, AGILITY', '15, BITE', '22, SUPERSONIC', '29, ANCIENTPOWER', '36, SCARY_FACE', '43, TAKE_DOWN', '50, HYPER_BEAM']"
Snorlax,"['1, TACKLE', '8, AMNESIA', '15, DEFENSE_CURL', '22, BELLY_DRUM', '29, HEADBUTT', '36, SNORE', '36, REST', '43, BODY_SLAM', '50, ROLLOUT', '57, HYPER_BEAM']"
Articuno,"['1, GUST', '1, POWDER_SNOW', '13, MIST', '25, AGILITY', '37, MIND_READER', '49, ICE_BEAM', '61, REFLECT', '73, BLIZZARD']"
Zapdos,"['1, PECK', '1, THUNDERSHOCK', '13, THUNDER_WAVE', '25, AGILITY', '37, DETECT', '49, DRILL_PECK', '61, LIGHT_SCREEN', '73, THUNDER']"
Moltres,"['1, WING_ATTACK', '1, EMBER', '13, FIRE_SPIN', '25, AGILITY', '37, ENDURE', '49, FLAMETHROWER', '61, SAFEGUARD', '73, SKY_ATTACK']"
Dratini,"['1, WRAP', '1, LEER', '8, THUNDER_WAVE', '15, TWISTER', '22, DRAGON_RAGE', '29, SLAM', '36, AGILITY', '43, SAFEGUARD', '50, OUTRAGE', '57, HYPER_BEAM']"
Dragonair,"['1, WRAP', '1, LEER', '1, THUNDER_WAVE', '1, TWISTER', '8, THUNDER_WAVE', '15, TWISTER', '22, DRAGON_RAGE', '29, SLAM', '38, AGILITY', '47, SAFEGUARD', '56, OUTRAGE', '65, HYPER_BEAM']"
Dragonite,"['1, WRAP', '1, LEER', '1, THUNDER_WAVE', '1, TWISTER', '8, THUNDER_WAVE', '15, TWISTER', '22, DRAGON_RAGE', '29, SLAM', '38, AGILITY', '47, SAFEGUARD', '55, WING_ATTACK', '61, OUTRAGE', '75, HYPER_BEAM']"
Mewtwo,"['1, CONFUSION', '1, DISABLE', '11, BARRIER', '22, SWIFT', '33, PSYCH_UP', '44, FUTURE_SIGHT', '55, MIST', '66, PSYCHIC_M', '77, AMNESIA', '88, RECOVER', '99, SAFEGUARD']"
Mew,"['1, POUND', '10, TRANSFORM', '20, MEGA_PUNCH', '30, METRONOME', '40, PSYCHIC_M', '50, ANCIENTPOWER']"
Chikorita,"['1, TACKLE', '1, GROWL', '8, RAZOR_LEAF', '12, REFLECT', '15, POISONPOWDER', '22, SYNTHESIS', '29, BODY_SLAM', '36, LIGHT_SCREEN', '43, SAFEGUARD', '50, SOLARBEAM']"
Bayleef,"['1, TACKLE', '1, GROWL', '1, RAZOR_LEAF', '1, REFLECT', '8, RAZOR_LEAF', '12, REFLECT', '15, POISONPOWDER', '23, SYNTHESIS', '31, BODY_SLAM', '39, LIGHT_SCREEN', '47, SAFEGUARD', '55, SOLARBEAM']"
Meganium,"['1, TACKLE', '1, GROWL', '1, RAZOR_LEAF', '1, REFLECT', '8, RAZOR_LEAF', '12, REFLECT', '15, POISONPOWDER', '23, SYNTHESIS', '31, BODY_SLAM', '41, LIGHT_SCREEN', '51, SAFEGUARD', '61, SOLARBEAM']"
Cyndaquil,"['1, TACKLE', '1, LEER', '6, SMOKESCREEN', '12, EMBER', '19, QUICK_ATTACK', '27, FLAME_WHEEL', '36, SWIFT', '46, FLAMETHROWER']"
Quilava,"['1, TACKLE', '1, LEER', '1, SMOKESCREEN', '6, SMOKESCREEN', '12, EMBER', '21, QUICK_ATTACK', '31, FLAME_WHEEL', '42, SWIFT', '54, FLAMETHROWER']"
Typhlosion,"['1, TACKLE', '1, LEER', '1, SMOKESCREEN', '1, EMBER', '6, SMOKESCREEN', '12, EMBER', '21, QUICK_ATTACK', '31, FLAME_WHEEL', '45, SWIFT', '60, FLAMETHROWER']"
Totodile,"['1, SCRATCH', '1, LEER', '7, RAGE', '13, WATER_GUN', '20, BITE', '27, SCARY_FACE', '35, SLASH', '43, SCREECH', '52, HYDRO_PUMP']"
Croconaw,"['1, SCRATCH', '1, LEER', '1, RAGE', '7, RAGE', '13, WATER_GUN', '21, BITE', '28, SCARY_FACE', '37, SLASH', '45, SCREECH', '55, HYDRO_PUMP']"
Feraligatr,"['1, SCRATCH', '1, LEER', '1, RAGE', '1, WATER_GUN', '7, RAGE', '13, WATER_GUN', '21, BITE', '28, SCARY_FACE', '38, SLASH', '47, SCREECH', '58, HYDRO_PUMP']"
Sentret,"['1, TACKLE', '5, DEFENSE_CURL', '11, QUICK_ATTACK', '17, FURY_SWIPES', '25, SLAM', '33, REST', '41, AMNESIA']"
Furret,"['1, SCRATCH', '1, DEFENSE_CURL', '1, QUICK_ATTACK', '5, DEFENSE_CURL', '11, QUICK_ATTACK', '18, FURY_SWIPES', '28, SLAM', '38, REST', '48, AMNESIA']"
Hoothoot,"['1, TACKLE', '1, GROWL', '6, FORESIGHT', '11, PECK', '16, HYPNOSIS', '22, REFLECT', '28, TAKE_DOWN', '34, CONFUSION', '48, DREAM_EATER']"
Noctowl,"['1, TACKLE', '1, GROWL', '1, FORESIGHT', '1, PECK', '6, FORESIGHT', '11, PECK', '16, HYPNOSIS', '25, REFLECT', '33, TAKE_DOWN', '41, CONFUSION', '57, DREAM_EATER']"
Ledyba,"['1, TACKLE', '8, SUPERSONIC', '15, COMET_PUNCH', '22, LIGHT_SCREEN', '22, REFLECT', '22, SAFEGUARD', '29, BATON_PASS', '36, SWIFT', '43, AGILITY', '50, DOUBLE_EDGE']"
Ledian,"['1, TACKLE', '1, SUPERSONIC', '8, SUPERSONIC', '15, COMET_PUNCH', '24, LIGHT_SCREEN', '24, REFLECT', '24, SAFEGUARD', '33, BATON_PASS', '42, SWIFT', '51, AGILITY', '60, DOUBLE_EDGE']"
Spinarak,"['1, POISON_STING', '1, STRING_SHOT', '6, SCARY_FACE', '11, CONSTRICT', '17, NIGHT_SHADE', '23, LEECH_LIFE', '30, FURY_SWIPES', '37, SPIDER_WEB', '45, AGILITY', '53, PSYCHIC_M']"
Ariados,"['1, POISON_STING', '1, STRING_SHOT', '1, SCARY_FACE', '1, CONSTRICT', '6, SCARY_FACE', '11, CONSTRICT', '17, NIGHT_SHADE', '25, LEECH_LIFE', '34, FURY_SWIPES', '43, SPIDER_WEB', '53, AGILITY', '63, PSYCHIC_M']"
Crobat,"['1, SCREECH', '1, LEECH_LIFE', '1, SUPERSONIC', '6, SUPERSONIC', '12, BITE', '19, CONFUSE_RAY', '30, WING_ATTACK', '42, MEAN_LOOK', '55, HAZE']"
Chinchou,"['1, BUBBLE', '1, THUNDER_WAVE', '5, SUPERSONIC', '13, FLAIL', '17, WATER_GUN', '25, SPARK', '29, CONFUSE_RAY', '37, TAKE_DOWN', '41, HYDRO_PUMP']"
Lanturn,"['1, BUBBLE', '1, THUNDER_WAVE', '1, SUPERSONIC', '5, SUPERSONIC', '13, FLAIL', '17, WATER_GUN', '25, SPARK', '33, CONFUSE_RAY', '45, TAKE_DOWN', '53, HYDRO_PUMP']"
Pichu,"['1, THUNDERSHOCK', '1, CHARM', '6, TAIL_WHIP', '8, THUNDER_WAVE', '11, SWEET_KISS']"
Cleffa,"['1, POUND', '1, CHARM', '4, ENCORE', '8, SING', '13, SWEET_KISS']"
Igglybuff,"['1, SING', '1, CHARM', '4, DEFENSE_CURL', '9, POUND', '14, SWEET_KISS']"
Togepi,"['1, GROWL', '1, CHARM', '7, METRONOME', '18, SWEET_KISS', '25, ENCORE', '31, SAFEGUARD', '38, DOUBLE_EDGE']"
Togetic,"['1, GROWL', '1, CHARM', '7, METRONOME', '18, SWEET_KISS', '25, ENCORE', '31, SAFEGUARD', '38, DOUBLE_EDGE']"
Natu,"['1, PECK', '1, LEER', '10, NIGHT_SHADE', '20, TELEPORT', '30, FUTURE_SIGHT', '40, CONFUSE_RAY', '50, PSYCHIC_M']"
Xatu,"['1, PECK', '1, LEER', '1, NIGHT_SHADE', '10, NIGHT_SHADE', '20, TELEPORT', '35, FUTURE_SIGHT', '50, CONFUSE_RAY', '65, PSYCHIC_M']"
Mareep,"['1, TACKLE', '1, GROWL', '9, THUNDERSHOCK', '16, THUNDER_WAVE', '23, COTTON_SPORE', '30, LIGHT_SCREEN', '37, THUNDER']"
Flaaffy,"['1, TACKLE', '1, GROWL', '1, THUNDERSHOCK', '9, THUNDERSHOCK', '18, THUNDER_WAVE', '27, COTTON_SPORE', '36, LIGHT_SCREEN', '45, THUNDER']"
Ampharos,"['1, TACKLE', '1, GROWL', '1, THUNDERSHOCK', '1, THUNDER_WAVE', '9, THUNDERSHOCK', '18, THUNDER_WAVE', '27, COTTON_SPORE', '30, THUNDERPUNCH', '42, LIGHT_SCREEN', '57, THUNDER']"
Bellossom,"['1, ABSORB', '1, SWEET_SCENT', '1, STUN_SPORE', '1, PETAL_DANCE', '55, SOLARBEAM']"
Marill,"['1, TACKLE', '3, DEFENSE_CURL', '6, TAIL_WHIP', '10, WATER_GUN', '15, ROLLOUT', '21, BUBBLEBEAM', '28, DOUBLE_EDGE', '36, RAIN_DANCE']"
Azumarill,"['1, TACKLE', '1, DEFENSE_CURL', '1, TAIL_WHIP', '1, WATER_GUN', '3, DEFENSE_CURL', '6, TAIL_WHIP', '10, WATER_GUN', '15, ROLLOUT', '25, BUBBLEBEAM', '36, DOUBLE_EDGE', '48, RAIN_DANCE']"
Sudowoodo,"['1, ROCK_THROW', '1, MIMIC', '10, FLAIL', '19, LOW_KICK', '28, ROCK_SLIDE', '37, FAINT_ATTACK', '46, SLAM']"
Politoed,"['1, WATER_GUN', '1, HYPNOSIS', '1, DOUBLESLAP', '1, PERISH_SONG', '35, PERISH_SONG', '51, SWAGGER']"
Hoppip,"['1, SPLASH', '5, SYNTHESIS', '5, TAIL_WHIP', '10, TACKLE', '13, POISONPOWDER', '15, STUN_SPORE', '17, SLEEP_POWDER', '20, LEECH_SEED', '25, COTTON_SPORE', '30, MEGA_DRAIN']"
Skiploom,"['1, SPLASH', '1, SYNTHESIS', '1, TAIL_WHIP', '1, TACKLE', '5, SYNTHESIS', '5, TAIL_WHIP', '10, TACKLE', '13, POISONPOWDER', '15, STUN_SPORE', '17, SLEEP_POWDER', '22, LEECH_SEED', '29, COTTON_SPORE', '36, MEGA_DRAIN']"
Jumpluff,"['1, SPLASH', '1, SYNTHESIS', '1, TAIL_WHIP', '1, TACKLE', '5, SYNTHESIS', '5, TAIL_WHIP', '10, TACKLE', '13, POISONPOWDER', '15, STUN_SPORE', '17, SLEEP_POWDER', '22, LEECH_SEED', '33, COTTON_SPORE', '44, MEGA_DRAIN']"
Aipom,"['1, SCRATCH', '1, TAIL_WHIP', '6, SAND_ATTACK', '12, BATON_PASS', '19, FURY_SWIPES', '27, SWIFT', '36, SCREECH', '46, AGILITY']"
Sunkern,"['1, ABSORB', '4, GROWTH', '10, MEGA_DRAIN', '19, SUNNY_DAY', '31, SYNTHESIS', '46, GIGA_DRAIN']"
Sunflora,"['1, ABSORB', '1, POUND', '4, GROWTH', '10, RAZOR_LEAF', '19, SUNNY_DAY', '31, PETAL_DANCE', '46, SOLARBEAM']"
Yanma,"['1, TACKLE', '1, FORESIGHT', '7, QUICK_ATTACK', '13, DOUBLE_TEAM', '19, SONICBOOM', '25, DETECT', '31, SUPERSONIC', '37, WING_ATTACK', '43, SCREECH']"
Wooper,"['1, WATER_GUN', '1, TAIL_WHIP', '11, SLAM', '21, AMNESIA', '31, EARTHQUAKE', '41, RAIN_DANCE', '51, MIST', '51, HAZE']"
Quagsire,"['1, WATER_GUN', '1, TAIL_WHIP', '11, SLAM', '23, AMNESIA', '35, EARTHQUAKE', '47, RAIN_DANCE', '59, MIST', '59, HAZE']"
Espeon,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, CONFUSION', '23, QUICK_ATTACK', '30, SWIFT', '36, PSYBEAM', '42, PSYCH_UP', '47, PSYCHIC_M', '52, MORNING_SUN']"
Umbreon,"['1, TACKLE', '1, TAIL_WHIP', '8, SAND_ATTACK', '16, PURSUIT', '23, QUICK_ATTACK', '30, CONFUSE_RAY', '36, FAINT_ATTACK', '42, MEAN_LOOK', '47, SCREECH', '52, MOONLIGHT']"
Murkrow,"['1, PECK', '11, PURSUIT', '16, HAZE', '26, NIGHT_SHADE', '31, FAINT_ATTACK', '41, MEAN_LOOK']"
Slowking,"['1, CURSE', '1, TACKLE', '6, GROWL', '15, WATER_GUN', '20, CONFUSION', '29, DISABLE', '34, HEADBUTT', '43, SWAGGER', '48, PSYCHIC_M']"
Misdreavus,"['1, GROWL', '1, PSYWAVE', '6, SPITE', '12, CONFUSE_RAY', '19, MEAN_LOOK', '27, PSYBEAM', '36, PAIN_SPLIT', '46, PERISH_SONG']"
Unown,"['1, HIDDEN_POWER']"
Wobbuffet,"['1, COUNTER', '1, MIRROR_COAT', '1, SAFEGUARD', '1, DESTINY_BOND']"
Girafarig,"['1, TACKLE', '1, GROWL', '1, CONFUSION', '1, STOMP', '7, CONFUSION', '13, STOMP', '20, AGILITY', '30, BATON_PASS', '41, PSYBEAM', '54, CRUNCH']"
Pineco,"['1, TACKLE', '1, PROTECT', '8, SELFDESTRUCT', '15, TAKE_DOWN', '22, RAPID_SPIN', '29, BIDE', '36, EXPLOSION', '43, SPIKES', '50, DOUBLE_EDGE']"
Forretress,"['1, TACKLE', '1, PROTECT', '1, SELFDESTRUCT', '8, SELFDESTRUCT', '15, TAKE_DOWN', '22, RAPID_SPIN', '29, BIDE', '39, EXPLOSION', '49, SPIKES', '59, DOUBLE_EDGE']"
Dunsparce,"['1, RAGE', '5, DEFENSE_CURL', '13, GLARE', '18, SPITE', '26, PURSUIT', '30, SCREECH', '38, TAKE_DOWN']"
Gligar,"['1, POISON_STING', '6, SAND_ATTACK', '13, HARDEN', '20, QUICK_ATTACK', '28, FAINT_ATTACK', '36, SLASH', '44, SCREECH', '52, GUILLOTINE']"
Steelix,"['1, TACKLE', '1, SCREECH', '10, BIND', '14, ROCK_THROW', '23, HARDEN', '27, RAGE', '36, SANDSTORM', '40, SLAM', '49, CRUNCH']"
Snubbull,"['1, TACKLE', '1, SCARY_FACE', '4, TAIL_WHIP', '8, CHARM', '13, BITE', '19, LICK', '26, ROAR', '34, RAGE', '43, TAKE_DOWN']"
Granbull,"['1, TACKLE', '1, SCARY_FACE', '4, TAIL_WHIP', '8, CHARM', '13, BITE', '19, LICK', '28, ROAR', '38, RAGE', '51, TAKE_DOWN']"
Qwilfish,"['1, SPIKES', '1, TACKLE', '1, POISON_STING', '10, HARDEN', '10, MINIMIZE', '19, WATER_GUN', '28, PIN_MISSILE', '37, TAKE_DOWN', '46, HYDRO_PUMP']"
Scizor,"['1, QUICK_ATTACK', '1, LEER', '6, FOCUS_ENERGY', '12, PURSUIT', '18, FALSE_SWIPE', '24, AGILITY', '30, METAL_CLAW', '36, SLASH', '42, SWORDS_DANCE', '48, DOUBLE_TEAM']"
Shuckle,"['1, CONSTRICT', '1, WITHDRAW', '9, WRAP', '14, ENCORE', '23, SAFEGUARD', '28, BIDE', '37, REST']"
Heracross,"['1, TACKLE', '1, LEER', '6, HORN_ATTACK', '12, ENDURE', '19, FURY_ATTACK', '27, COUNTER', '35, TAKE_DOWN', '44, REVERSAL', '54, MEGAHORN']"
Sneasel,"['1, SCRATCH', '1, LEER', '9, QUICK_ATTACK', '17, SCREECH', '25, FAINT_ATTACK', '33, FURY_SWIPES', '41, AGILITY', '49, SLASH', '57, BEAT_UP', '65, METAL_CLAW']"
Teddiursa,"['1, SCRATCH', '1, LEER', '8, LICK', '15, FURY_SWIPES', '22, FAINT_ATTACK', '29, REST', '36, SLASH', '43, SNORE', '50, THRASH']"
Ursaring,"['1, SCRATCH', '1, LEER', '1, LICK', '1, FURY_SWIPES', '8, LICK', '15, FURY_SWIPES', '22, FAINT_ATTACK', '29, REST', '39, SLASH', '49, SNORE', '59, THRASH']"
Slugma,"['1, SMOG', '8, EMBER', '15, ROCK_THROW', '22, HARDEN', '29, AMNESIA', '36, FLAMETHROWER', '43, ROCK_SLIDE', '50, BODY_SLAM']"
Magcargo,"['1, SMOG', '1, EMBER', '1, ROCK_THROW', '8, EMBER', '15, ROCK_THROW', '22, HARDEN', '29, AMNESIA', '36, FLAMETHROWER', '48, ROCK_SLIDE', '60, BODY_SLAM']"
Swinub,"['1, TACKLE', '10, POWDER_SNOW', '19, ENDURE', '28, TAKE_DOWN', '37, MIST', '46, BLIZZARD', '55, AMNESIA']"
Piloswine,"['1, HORN_ATTACK', '1, POWDER_SNOW', '1, ENDURE', '10, POWDER_SNOW', '19, ENDURE', '28, TAKE_DOWN', '33, FURY_ATTACK', '42, MIST', '56, BLIZZARD', '70, AMNESIA']"
Corsola,"['1, TACKLE', '7, HARDEN', '13, BUBBLE', '19, RECOVER', '25, BUBBLEBEAM', '31, SPIKE_CANNON', '37, MIRROR_COAT', '43, ANCIENTPOWER']"
Remoraid,"['1, WATER_GUN', '11, LOCK_ON', '22, PSYBEAM', '22, AURORA_BEAM', '22, BUBBLEBEAM', '33, FOCUS_ENERGY', '44, ICE_BEAM', '55, HYPER_BEAM']"
Octillery,"['1, WATER_GUN', '11, CONSTRICT', '22, PSYBEAM', '22, AURORA_BEAM', '22, BUBBLEBEAM', '25, OCTAZOOKA', '38, FOCUS_ENERGY', '54, ICE_BEAM', '70, HYPER_BEAM']"
Delibird,"['1, PRESENT']"
Mantine,"['1, TACKLE', '1, BUBBLE', '10, SUPERSONIC', '18, BUBBLEBEAM', '25, TAKE_DOWN', '32, AGILITY', '40, WING_ATTACK', '49, CONFUSE_RAY']"
Skarmory,"['1, LEER', '1, PECK', '13, SAND_ATTACK', '19, SWIFT', '25, AGILITY', '37, FURY_ATTACK', '49, STEEL_WING']"
Houndour,"['1, LEER', '1, EMBER', '7, ROAR', '13, SMOG', '20, BITE', '27, FAINT_ATTACK', '35, FLAMETHROWER', '43, CRUNCH']"
Houndoom,"['1, LEER', '1, EMBER', '7, ROAR', '13, SMOG', '20, BITE', '30, FAINT_ATTACK', '41, FLAMETHROWER', '52, CRUNCH']"
Kingdra,"['1, BUBBLE', '1, SMOKESCREEN', '1, LEER', '1, WATER_GUN', '8, SMOKESCREEN', '15, LEER', '22, WATER_GUN', '29, TWISTER', '40, AGILITY', '51, HYDRO_PUMP']"
Phanpy,"['1, TACKLE', '1, GROWL', '9, DEFENSE_CURL', '17, FLAIL', '25, TAKE_DOWN', '33, ROLLOUT', '41, ENDURE', '49, DOUBLE_EDGE']"
Donphan,"['1, HORN_ATTACK', '1, GROWL', '9, DEFENSE_CURL', '17, FLAIL', '25, FURY_ATTACK', '33, ROLLOUT', '41, RAPID_SPIN', '49, EARTHQUAKE']"
Porygon2,"['1, CONVERSION2', '1, TACKLE', '1, CONVERSION', '9, AGILITY', '12, PSYBEAM', '20, RECOVER', '24, DEFENSE_CURL', '32, LOCK_ON', '36, TRI_ATTACK', '44, ZAP_CANNON']"
Stantler,"['1, TACKLE', '8, LEER', '15, HYPNOSIS', '23, STOMP', '31, SAND_ATTACK', '40, TAKE_DOWN', '49, CONFUSE_RAY']"
Smeargle,"['1, SKETCH', '11, SKETCH', '21, SKETCH', '31, SKETCH', '41, SKETCH', '51, SKETCH', '61, SKETCH', '71, SKETCH', '81, SKETCH', '91, SKETCH']"
Tyrogue,"['1, TACKLE']"
Hitmontop,"['1, ROLLING_KICK', '7, FOCUS_ENERGY', '13, PURSUIT', '19, QUICK_ATTACK', '25, RAPID_SPIN', '31, COUNTER', '37, AGILITY', '43, DETECT', '49, TRIPLE_KICK']"
Smoochum,"['1, POUND', '1, LICK', '9, SWEET_KISS', '13, POWDER_SNOW', '21, CONFUSION', '25, SING', '33, MEAN_LOOK', '37, PSYCHIC_M', '45, PERISH_SONG', '49, BLIZZARD']"
Elekid,"['1, QUICK_ATTACK', '1, LEER', '9, THUNDERPUNCH', '17, LIGHT_SCREEN', '25, SWIFT', '33, SCREECH', '41, THUNDERBOLT', '49, THUNDER']"
Magby,"['1, EMBER', '7, LEER', '13, SMOG', '19, FIRE_PUNCH', '25, SMOKESCREEN', '31, SUNNY_DAY', '37, FLAMETHROWER', '43, CONFUSE_RAY', '49, FIRE_BLAST']"
Miltank,"['1, TACKLE', '4, GROWL', '8, DEFENSE_CURL', '13, STOMP', '19, MILK_DRINK', '26, BIDE', '34, ROLLOUT', '43, BODY_SLAM', '53, HEAL_BELL']"
Blissey,"['1, POUND', '4, GROWL', '7, TAIL_WHIP', '10, SOFTBOILED', '13, DOUBLESLAP', '18, MINIMIZE', '23, SING', '28, EGG_BOMB', '33, DEFENSE_CURL', '40, LIGHT_SCREEN', '47, DOUBLE_EDGE']"
Raikou,"['1, BITE', '1, LEER', '11, THUNDERSHOCK', '21, ROAR', '31, QUICK_ATTACK', '41, SPARK', '51, REFLECT', '61, CRUNCH', '71, THUNDER']"
Entei,"['1, BITE', '1, LEER', '11, EMBER', '21, ROAR', '31, FIRE_SPIN', '41, STOMP', '51, FLAMETHROWER', '61, SWAGGER', '71, FIRE_BLAST']"
Suicune,"['1, BITE', '1, LEER', '11, BUBBLEBEAM', '21, RAIN_DANCE', '31, GUST', '41, AURORA_BEAM', '51, MIST', '61, MIRROR_COAT', '71, HYDRO_PUMP']"
Larvitar,"['1, BITE', '1, LEER', '8, SANDSTORM', '15, SCREECH', '22, ROCK_SLIDE', '29, THRASH', '36, SCARY_FACE', '43, CRUNCH', '50, EARTHQUAKE', '57, HYPER_BEAM']"
Pupitar,"['1, BITE', '1, LEER', '1, SANDSTORM', '1, SCREECH', '8, SANDSTORM', '15, SCREECH', '22, ROCK_SLIDE', '29, THRASH', '38, SCARY_FACE', '47, CRUNCH', '56, EARTHQUAKE', '65, HYPER_BEAM']"
Tyranitar,"['1, BITE', '1, LEER', '1, SANDSTORM', '1, SCREECH', '8, SANDSTORM', '15, SCREECH', '22, ROCK_SLIDE', '29, THRASH', '38, SCARY_FACE', '47, CRUNCH', '61, EARTHQUAKE', '75, HYPER_BEAM']"
Lugia,"['1, AEROBLAST', '11, SAFEGUARD', '22, GUST', '33, RECOVER', '44, HYDRO_PUMP', '55, RAIN_DANCE', '66, SWIFT', '77, WHIRLWIND', '88, ANCIENTPOWER', '99, FUTURE_SIGHT']"
HoOh,"['1, SACRED_FIRE', '11, SAFEGUARD', '22, GUST', '33, RECOVER', '44, FIRE_BLAST', '55, SUNNY_DAY', '66, SWIFT', '77, WHIRLWIND', '88, ANCIENTPOWER', '99, FUTURE_SIGHT']"
Celebi,"['1, LEECH_SEED', '1, CONFUSION', '1, RECOVER', '1, HEAL_BELL', '10, SAFEGUARD', '20, ANCIENTPOWER', '30, FUTURE_SIGHT', '40, BATON_PASS', '50, PERISH_SONG']"
